LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Lifetime Neutered Male,SCHNOODLE,WHITE,TIMMY,15237,2099,2010-02-10T11:52:30
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,BAXTER,15237,2099,2010-02-10T12:07:53
Dog Lifetime Spayed Female,MIXED,BLACK,ELLIE,15205,2099,2010-02-10T12:14:57
Dog Lifetime Neutered Male,BRITTANY SPANIEL,WHITE,BANDIT,15104,2099,2010-02-10T13:41:05
Dog Lifetime Female,BOSTON TERRIER,WHITE/BLACK,ZOEY,15332,2099,2010-02-10T13:45:18
Dog Lifetime Spayed Female,MIXED,YELLOW,RILEY ANGEL,15090,2099,2010-02-10T13:47:35
Dog Lifetime Spayed Female,BICHON FRISE,WHITE,OLLIE,15233,2099,2010-02-10T13:49:38
Dog Lifetime Spayed Female,MIXED,WHITE/RED,TEMP,15235,2099,2010-02-10T13:49:35
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,ALLEGRA,15237,2099,2010-02-10T13:52:03
Dog Lifetime Neutered Male,PUGGLE,FAWN,PHINEAS RAMSEY,15236,2099,2010-02-10T13:57:25
Dog Lifetime Spayed Female,TREE WALK COONHOUND,TRI-COLOR,KENDELL,15209,2099,2010-02-10T14:24:09
Dog Lifetime Spayed Female,YORKSHIRE TERR MIX,MULTI,TAFFY,15071,2099,2010-02-10T14:07:02
Dog Lifetime Neutered Male,BERNESE MTN DOG,TRI-COLOR,BRECKEN,15057,2099,2010-02-10T14:24:09
Dog Senior Lifetime Spayed Female,BEAGLE,BLACK/BROWN,ROSCOE,15146,2099,2010-02-10T14:24:10
Dog Lifetime Spayed Female,BULLDOG,WHITE,EDNA,15044,2099,2010-02-10T14:25:39
Dog Lifetime Spayed Female,BICHON FRISE,WHITE,JOSIE,15233,2099,2010-02-10T14:37:09
Dog Lifetime Neutered Male,LAB MIX,BLACK,PHANTOM,15084,2099,2010-02-11T11:23:12
Dog Lifetime Neutered Male,ITALIAN GREYHOUND,FAWN,JORDAN,15101,2099,2010-02-11T12:15:58
Dog Lifetime Spayed Female,BEAGLE,WHITE/BLACK,LULU,15143,2099,2010-02-11T12:25:31
Dog Lifetime Spayed Female,DACHSHUND,BLACK,ANABEL,15143,2099,2010-02-11T12:25:31
Dog Lifetime Neutered Male,BEAGLE,WHITE/BLACK/BROWN,LINCOLN,15143,2099,2010-02-11T12:25:31
Dog Lifetime Spayed Female,GOLDENDOODLE,GOLD,BEXLEY,15216,2099,2010-02-12T12:32:44
Dog Lifetime Spayed Female,BOXER,BRINDLE,COCOA,15239,2099,2010-02-12T13:00:45
Dog Lifetime Neutered Male,GER SHORTHAIR POINT,SPOTTED,CHARLIE,15116,2099,2010-02-16T11:33:49
Dog Lifetime Neutered Male,DACHSHUND,BRINDLE,JASPER,15147,2099,2010-02-16T14:11:12
Dog Lifetime Duplicate,LABRADOR RETRIEVER,BLACK,EBONY,15236,2099,2010-02-16T14:37:17
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK/BROWN,WILLIS,15037,2099,2010-02-16T15:26:31
Dog Senior Lifetime Neutered Male,MIXED,WHITE/BROWN,DIGGER O'DELL,15084,2099,2010-02-16T15:39:33
Dog Lifetime Spayed Female,BEAGLE MIX,BROWN,ROXY,15101,2099,2010-02-16T15:39:33
Dog Lifetime Spayed Female,SHEPHERD MIX,WHITE/BLACK/BROWN,APRIL,15116,2099,2010-02-16T15:36:46
Dog Lifetime Neutered Male,RETRIEVER MIX,BLACK,BUDDY,15106,2099,2010-02-17T12:01:29
Dog Lifetime Female,YORKSHIRE TERRIER,WHITE/BROWN,CLEOPATRA,15139,2099,2010-02-17T12:06:47
Dog Lifetime Neutered Male,TERRIER MIX,TRI-COLOR,JAKE,15218,2099,2010-02-17T14:52:50
Dog Lifetime Spayed Female,MIXED,BROWN,HOPE,15018,2099,2010-02-17T14:53:59
Dog Lifetime Neutered Male,GOLDENDOODLE,BROWN,BAILEY,15229,2099,2010-02-18T13:54:06
Dog Lifetime Neutered Male,CAIRN TERRIER,TAN,HARRY,15090,2099,2010-02-18T14:12:56
Dog Lifetime Neutered Male,FRENCH BULLDOG,WHITE,CHET,15228,2099,2010-02-18T14:28:28
Dog Lifetime Spayed Female,STAFFORDSHIRE TERRI,WHITE/TAN,BELLA,15044,2099,2010-02-18T14:30:48
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,RILEY,15220,2099,2010-02-19T15:09:51
Dog Lifetime Neutered Male,POODLE TOY,WHITE,KEDO,15133,2099,2010-02-19T15:12:35
Dog Senior Lifetime Neutered Male,YORKSHIRE TERR MIX,BLACK WITH WHITE,BRUCE,15090,2099,2010-02-19T15:46:17
Dog Senior Lifetime Neutered Male,YORKSHIRE TERR MIX,BLACK WITH WHITE,BRUCE,15090,2099,2010-02-19T15:46:17
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,WINKY,15241,2099,2010-02-19T15:46:18
Dog Lifetime Spayed Female,BEAGLE MIX,WHITE/BLACK/BROWN,PHOEBE,15236,2099,2010-02-22T08:47:54
Dog Lifetime Spayed Female,MIXED,BLACK WITH WHITE,HALEY,15202,2099,2010-02-22T11:55:16
Dog Lifetime Neutered Male,GER SHEPHERD MIX,BLACK,BRUIN,15044,2099,2010-02-22T14:13:42
Dog Lifetime Spayed Female,GER SHEPHERD MIX,BLACK,SYDNEY,15090,2099,2010-02-22T14:13:43
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,SASHA,15137,2099,2005-01-31T00:00:00
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,JAKE,15129,2099,2004-06-21T00:00:00
Dog Lifetime Spayed Female,MIXED,SPOTTED,SHILOH,15129,2099,2006-01-20T00:00:00
Dog Lifetime Spayed Female,LAB MIX,BROWN,BLONDIE,15140,2099,2005-07-18T00:00:00
Dog Lifetime Spayed Female,AUS SHEPHERD,MULTI,SASHA,15238,2099,2004-02-25T00:00:00
Dog Lifetime Male,ENG SETTER,WHITE/BLACK/BROWN,CODY,15037,2099,2006-02-24T00:00:00
Dog Lifetime Male,ENG SETTER,WHITE/BLACK/BROWN,CHARLIE,15037,2099,2006-02-24T00:00:00
Dog Lifetime Neutered Male,DOBERMAN PINSCHER,BLACK/BROWN,COLT,15037,2099,2006-02-24T00:00:00
Dog Lifetime Spayed Female,MIN PINSCHER,BLACK/BROWN,CANDY,15037,2099,2006-02-24T00:00:00
Dog Lifetime Spayed Female,SAMOYED,WHITE,KEENA,15235,2099,2006-02-14T00:00:00
Dog Lifetime Neutered Male,LAB MIX,BLACK,AMOS,15215,2099,2004-02-19T00:00:00
Dog Lifetime Neutered Male,RETRIEVER MIX,BRINDLE,BEAR,15236,2099,2006-10-02T00:00:00
Dog Lifetime Spayed Female,BOXER,WHITE,MADISON,15137,2099,2004-02-18T00:00:00
Dog Lifetime Male,BORD COLLIE,BLACK,TENNESEE TUXEDO,15221,2099,2005-10-04T00:00:00
Dog Lifetime Spayed Female,COCKER SPANIEL MIX,RED,HOLLY,15221,2099,2005-10-04T00:00:00
Dog Lifetime Spayed Female,ROTTWEILER,BLACK/RED,QUAILA,15131,2099,2004-02-17T00:00:00
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,JACK,15065,2099,2006-01-10T00:00:00
Dog Lifetime Female,ALAS MALAMUTE,WHITE/GREY,GRACIE,15135,2099,2006-10-30T00:00:00
Dog Lifetime Neutered Male,MIXED,BLACK,SAMBUCA,15202,2099,2006-03-10T00:00:00
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,BULLET,15101,2099,2006-02-01T00:00:00
Dog Lifetime Neutered Male,LAB MIX,BLACK,TREAVOR,15216,2099,2006-07-03T00:00:00
Dog Lifetime Neutered Male,DACHSHUND,RED,WILLIE,15131,2099,2005-02-18T00:00:00
Dog Lifetime Neutered Male,MIXED,WHITE,ROCKY,15235,2099,2006-02-14T00:00:00
Dog Senior Lifetime Neutered Male,CHINESE SHAR-PEI,BLACK,CHANCE,15131,2099,2006-10-24T00:00:00
Dog Senior Lifetime Female,POODLE TOY,GREY,ZOE,15132,2099,2006-02-01T00:00:00
Dog Lifetime Spayed Female,CHIHUAHUA,WHITE/FAWN,CARA MIA,15239,2099,2005-02-08T00:00:00
Dog Senior Lifetime Neutered Male,PEKINGESE,FAWN,DUDLEY,15147,2099,2005-02-08T00:00:00
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,RILEY,15101,2099,2005-08-31T00:00:00
Dog Lifetime Neutered Male,MIXED,MULTI,SCOOTER,15236,2099,2005-03-18T00:00:00
Dog Lifetime Spayed Female,BRITTANY SPANIEL,BROWN,SADIE,15235,2099,2005-01-21T00:00:00
Dog Lifetime Spayed Female,MIXED,BLACK,SADIE MCKENZIE,15215,2099,2004-02-20T00:00:00
Dog Lifetime Spayed Female,BICHON FRISE,WHITE,JENNY,15235,2099,2004-02-17T00:00:00
Dog Lifetime Female,BICHON FRISE,WHITE,KEEPER,15235,2099,2004-02-17T00:00:00
Dog Lifetime Neutered Male,HAVANESE,CREAM,OSO,15147,2099,2005-12-05T00:00:00
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,JESSIE,15146,2099,2004-02-24T00:00:00
Dog Lifetime Neutered Male,CHOW CHOW MIX,WHITE,KODIAK,15238,2099,2006-01-09T00:00:00
Dog Lifetime Neutered Male,WELSH CORGI CARDIGA,WHITE/BLACK/BROWN,BAILEY,15108,2099,2004-02-19T00:00:00
Dog Lifetime Spayed Female,WELSH CORGI CARDIGA,WHITE/BLACK/BROWN,MONA,15108,2099,2004-02-19T00:00:00
Dog Lifetime Spayed Female,WELSH CORGI CARDIGA,WHITE/BLACK/BROWN,CHLOE,15108,2099,2004-02-19T00:00:00
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,JASPER,15044,2099,2004-04-07T00:00:00
Dog Lifetime Spayed Female,CANE CORSO,,CHLOE,15147,2099,2005-02-16T00:00:00
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BROWN,DUKE PEAIRS,15037,2099,2004-02-19T00:00:00
Dog Lifetime Neutered Male,MIXED,BLACK,DUKE,15139,2099,2004-02-20T00:00:00
Dog Senior Lifetime Spayed Female,RAT TERRIER,BLACK,WICKIE,15236,2099,2005-03-01T00:00:00
Dog Lifetime Neutered Male,LHASA APSO,BEIGE,SAMSON,15221,2099,2006-02-16T00:00:00
Dog Lifetime Female,SIB HUSKY,WHITE/GREY,JOURNEY,15237,2099,2004-02-20T00:00:00
Dog Senior Lifetime Spayed Female,DACHSHUND,RED,HEIDI,15146,2099,2006-06-23T00:00:00
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BROWN,ZOEY,15112,2099,2005-02-08T00:00:00
Dog Lifetime Neutered Male,SHIH TZU,WHITE,FLURRY,15237,2099,2004-05-21T00:00:00
Dog Lifetime Spayed Female,AM PIT BULL TERRIER,BROWN,PRISCILLA,15065,2099,2004-02-20T00:00:00
Dog Senior Lifetime Spayed Female,POODLE STANDARD,RED,POOH BOT,15202,2099,2004-02-20T00:00:00
Dog Lifetime Neutered Male,MIXED,BLACK/TAN,DARIO,15202,2099,2004-02-20T00:00:00
Dog Senior Lifetime Neutered Male,MIXED,WHITE,MICKEY,15120,2099,2006-02-01T00:00:00
Dog Lifetime Neutered Male,PUG,FAWN,ERNIE,15101,2099,2006-04-13T00:00:00
Dog Lifetime Neutered Male,MALTESE,WHITE,BAILEY,15142,2099,2006-05-01T00:00:00
Dog Lifetime Neutered Male,BICHON FRISE,WHITE,MAX,15132,2099,2005-06-20T00:00:00
Dog Lifetime Neutered Male,W HGHLND WH TERRIER,WHITE,BEN,15227,2099,2006-02-01T00:00:00
Dog Lifetime Neutered Male,W HGHLND WH TERRIER,WHITE,SAMMIE,15227,2099,2006-02-01T00:00:00
Dog Senior Lifetime Neutered Male,PARSON RUSSELL TERR,SPOTTED,MOOSE,15127,2099,2005-01-12T00:00:00
Dog Senior Lifetime Spayed Female,SHIH TZU,WHITE/BROWN,CASEY,15227,2099,2006-01-01T00:00:00
Dog Lifetime Female,BICHON FRISE ,WHITE,KATIE,15235,2099,2004-02-17T00:00:00
Dog Lifetime Male,BICHON FRISE,WHITE,MAGIC,15235,2099,2006-02-14T00:00:00
Dog Lifetime Spayed Female,OLD ENG SHEEPDOG,WHITE/GREY,MORGAN,15202,2099,2004-02-19T00:00:00
Dog Lifetime Neutered Male,TAG,WHITE/RED,JOEY,15220,2099,2004-02-19T00:00:00
Dog Lifetime Spayed Female,GREYHOUND,BRINDLE,LADY,15234,2099,2004-02-19T00:00:00
Dog Lifetime Spayed Female,ENG SETTER,SPOTTED,SETTER HILLS BELL,15135,2099,2004-02-19T00:00:00
Dog Senior Lifetime Neutered Male,SHIH TZU,GREY,SNICKERS,15057,2099,2013-04-08T15:10:44
Dog Lifetime Duplicate,ENGLISH MASTIFF,FAWN,SASHA,15235,2099,2013-04-08T15:30:44
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,GOLD,SEAMUS,15122,2099,2013-04-09T10:11:24
Dog Lifetime Neutered Male,LAB MIX,BLACK,RILEY,15241,2099,2013-04-09T10:18:25
Dog Lifetime Neutered Male,MIXED,BROWN,OLIVER,15235,2099,2013-04-09T10:31:20
Dog Lifetime Neutered Male,LAB MIX ,BLACK,JAKE,15044,2099,2013-04-09T10:32:22
Dog Lifetime Neutered Male,VIZSLA,RUST,RALPH,15044,2099,2013-04-09T10:36:23
Dog Lifetime Female,LABRADOR RETRIEVER,BLACK,LUCIE,15239,2099,2013-04-09T10:41:07
Dog Senior Lifetime Neutered Male,BOXER,BRINDLE,BUSTER BAER,15044,2099,2013-04-09T10:43:48
Dog Senior Lifetime Neutered Male,SHIH TZU,TRI-COLOR,MICKEY,15037,2099,2013-04-09T10:57:11
Dog Lifetime Neutered Male,BORD COLLIE,WHITE,ALEX,15065,2099,2013-04-09T12:13:09
Dog Lifetime Neutered Male,MIXED,BRINDLE,JACK,15112,2099,2013-04-09T13:17:44
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,ROSCOE,15236,2099,2013-04-09T14:12:03
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/BROWN,SYDNEY,15102,2099,2013-04-10T08:36:26
Dog Lifetime Neutered Male,WEIMARANER,SILVER,CHARLIE,15122,2099,2013-04-10T08:36:27
Dog Lifetime Spayed Female,PUG,BLACK,LAYLA,15122,2099,2013-04-09T14:24:38
Dog Lifetime Neutered Male,LAB MIX,BLACK,MAX,15017,2099,2013-04-09T14:34:07
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/BROWN,BELLA,15236,2099,2013-04-09T14:34:08
Dog Lifetime Spayed Female,AUS SHEPHERD,MERLE,CALLI,15112,2099,2013-04-09T14:33:25
Dog Lifetime Neutered Male,TERRIER MIX,WHITE/BLACK,TROY,15108,2099,2013-04-09T14:34:08
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD,HOLLY,15122,2099,2013-04-09T15:27:25
Dog Senior Lifetime Male,LABRADOODLE,WHITE,MONTY,15239,2099,2013-04-09T15:27:26
Dog Lifetime Spayed Female,MALTESE,WHITE,ABBY 2,15214,2099,2013-04-09T15:27:26
Dog Lifetime Spayed Female,COCKER SPANIEL,CREAM,SASHA,15068,2099,2013-04-09T15:27:27
Dog Lifetime Spayed Female,MALTI-POO,WHITE,MOLLY,15147,2099,2013-04-09T15:27:28
Dog Lifetime Neutered Male,SHEPHERD MIX,MULTI,NELSON,15202,2099,2013-04-09T15:27:29
Dog Lifetime Spayed Female,GREAT DANE,BLACK,SOPHIE,15202,2099,2013-04-09T15:27:29
Dog Lifetime Spayed Female,MIXED,BROWN,MAYA,15202,2099,2013-04-09T15:27:29
Dog Lifetime Spayed Female,MIXED,BLACK,ROSE,15137,2099,2013-04-09T16:07:06
Dog Lifetime Neutered Male,AM PITT BULL MIX,TAN,JAXON,15133,2099,2013-04-09T16:10:23
Dog Lifetime Neutered Male,BRITTANY SPANIEL,WHITE/BROWN,SNOOPY,15034,2099,2013-04-10T08:57:57
Dog Lifetime Duplicate,MIXED,WHITE/BROWN,CODY,15044,2099,2013-04-10T09:00:18
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,WHITE,ISABELLA,15108,2099,2013-04-10T12:36:04
Dog Lifetime Neutered Male,BEAGLE,WHITE/BLACK/BROWN,CHUBBS,15209,2099,2013-04-10T14:11:20
Dog Lifetime Female,LABRADOR RETRIEVER,BROWN,KIAYA,15205,2099,2013-04-11T11:57:08
Dog Lifetime Spayed Female,DACHSHUND,RED,DAISY,15037,2099,2013-04-11T13:45:20
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD,GEMMA,15090,2099,2013-04-12T08:41:34
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD,TONI,15090,2099,2013-04-12T08:41:34
Dog Lifetime Neutered Male,MALTESE MIX,WHITE/BROWN,REX,15332,2099,2013-04-11T14:58:31
Dog Lifetime Neutered Male,GER SHEPHERD MIX,WHITE/BLACK/BROWN,LEXI,15135,2099,2013-04-12T12:35:03
Dog Lifetime Neutered Male,DACHSHUND,BLACK/TAN,CHARLIE,15227,2099,2013-04-12T14:23:12
Dog Lifetime Spayed Female,MIXED. ,WHITE/BLACK/BROWN,AVA,15044,2099,2013-04-12T14:37:24
Dog Lifetime Neutered Male,ENG BULLDOG,BLACK/BROWN,MOOSE,15102,2099,2013-04-12T14:37:25
Dog Lifetime Spayed Female,LAB MIX,WHITE/BROWN,REXXY PASTERNAK,15101,2099,2013-04-15T08:35:21
Dog Lifetime Spayed Female,LAB MIX,TAN,MORGAN,15129,2099,2013-04-15T08:35:22
Dog Lifetime Spayed Female,MIXED,BLACK/BROWN,BELLA,15035,2099,2013-04-15T10:31:10
Dog Lifetime Neutered Male,MIXED,BROWN,PARKER,15044,2099,2013-04-15T10:50:15
Dog Lifetime Spayed Female,CHIHUAHUA,BROWN,LILY,15116,2099,2013-04-15T11:00:21
Dog Lifetime Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,WILLIE,15129,2099,2013-04-16T08:54:27
Dog Lifetime Spayed Female,AUS SHEPHERD,MERLE,NORA RAE,15090,2099,2013-04-16T08:54:28
Dog Senior Lifetime Neutered Male,GOLDENDOODLE,WHITE,ISAAC,15037,2099,2013-04-15T13:55:10
Dog Lifetime Neutered Male,GER SHEPHERD MIX,BLACK,MAX,15090,2099,2013-04-15T13:55:11
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,WHITE,KEITA,15108,2099,2013-04-15T13:55:11
Dog Senior Lifetime Female,LABRADOR RETRIEVER ,BROWN,MOLLY MAE,15035,2099,2013-04-15T13:55:13
Dog Lifetime Neutered Male,BOXER MIX,BLACK,LUKA,15122,2099,2013-04-15T14:22:04
Dog Lifetime Neutered Male,MIXED,BRINDLE,PEJA,15122,2099,2013-04-15T14:22:04
Dog Lifetime Spayed Female,SHETLAND SHEEPDOG,WHITE/BROWN,EVA,15024,2099,2013-04-15T14:25:06
Dog Lifetime Male,GER SHEPHERD,BLACK/BROWN,KING,15104,2099,2013-04-15T15:23:10
Dog Lifetime Female,GER SHEPHERD,BLACK/BROWN,QUEENIE,15104,2099,2013-04-15T15:23:10
Dog Senior Lifetime Spayed Female,SCOTTISH TERRIER,WHEATON,LINDSEY LEE,15235,2099,2013-04-16T08:54:35
Dog Lifetime Female,CHINOOK,BROWN,RIVER,15239,2099,2013-04-16T08:54:41
Dog Lifetime Spayed Female,BEAGLE MIX,BLACK/BROWN,IVY,15146,2099,2013-04-16T09:56:31
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD,CLAIRE,15237,2099,2013-04-16T09:56:31
Dog Lifetime Neutered Male,MIXED,BROWN,GUNNER,15243,2099,2013-04-16T13:32:58
Dog Senior Lifetime Spayed Female,LABRADOODLE,BLACK,TULLULA,15090,2099,2013-04-16T13:55:30
Dog Lifetime Spayed Female,BEAGLE,WHITE/BROWN,RIPPLE,15084,2099,2013-04-16T13:55:31
Dog Lifetime Neutered Male,AUS SHEPHERD,BLACK/BROWN,LUCKY,15237,2099,2013-04-16T13:55:32
Dog Lifetime Spayed Female,GER SHEPHERD MIX,TRI-COLOR,BELLA,15090,2099,2010-02-22T14:13:43
Dog Lifetime Male,SCOTTISH TERRIER,WHITE,AXEL,15237,2099,2010-02-22T14:03:22
Dog Lifetime Neutered Male,LAB MIX,BLACK,DEUCE,15025,2099,2010-02-22T14:31:51
Dog Lifetime Spayed Female,LAB MIX,BLACK/BROWN,DYNA,15025,2099,2010-02-22T14:31:51
Dog Lifetime Spayed Female,MIXED,BRINDLE,MRS WIGGLES,15139,2099,2010-02-22T14:53:12
Dog Senior Lifetime Spayed Female,GER SHEPHERD,BLACK/BROWN,RAVEN,15147,2099,2010-02-22T15:48:27
Dog Lifetime Female,SHIH TZU,BLACK WITH WHITE,COOKIE,15144,2099,2010-02-22T16:03:33
Dog Lifetime Female,SHIH TZU MIX,BLACK WITH WHITE,COCO,15144,2099,2010-02-22T16:03:33
Dog Lifetime Spayed Female,POMERANIAN,BROWN,JAVA,15235,2099,2010-02-22T16:03:33
Dog Lifetime Spayed Female,LAB MIX,BROWN,EMMA,15236,2099,2010-02-22T16:07:40
Dog Out of County Transfer - Lifetime,COCKER SPANIEL,WHITE/BLACK,HEINZ,15237,2099,2010-02-22T16:18:58
Dog Lifetime Spayed Female,COCKAPOO,APRICOT,LUCY,15068,2099,2010-02-23T12:56:56
Dog Lifetime Neutered Male,BEAGLE,TRI-COLOR,BUDDY,15135,2099,2010-02-23T13:22:29
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,BLACK,KODA,15044,2099,2010-02-23T14:48:50
Dog Lifetime Spayed Female,PEEKAPOO,APRICOT,SUGAR,15090,2099,2010-02-23T13:37:59
Dog Lifetime Spayed Female,BERNESE MTN DOG,TRI-COLOR,MIIKKA,15237,2099,2010-02-23T14:48:51
Dog Lifetime Spayed Female,GOLDEN RETRIEVER,GOLD/RED,ZARLEY,15237,2099,2010-02-23T14:48:51
Dog Lifetime Neutered Male,ENG FOXHOUND,TRI-COLOR,TUCKER,15045,2099,2010-02-23T14:48:54
Dog Lifetime Spayed Female,GER SHORTHAIR POINT,WHITE/LIVER,BONNY BELLE,15045,2099,2010-02-23T14:48:54
Dog Lifetime Spayed Female,GER SHORTHAIR POINT,WHITE/LIVER,BONNY BELLE,15045,2099,2010-02-23T14:48:54
Dog Lifetime Spayed Female,CHIHUAHUA,WHITE/BLUE,TORI,15227,2099,2010-02-23T16:20:11
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,BLACK,LAYLA,15102,2099,2010-02-23T16:20:11
Dog Lifetime Spayed Female,BEAGLE MIX,SPOTTED,MIA BELLA,15237,2099,2010-02-23T16:20:12
Dog Out of County Transfer - Lifetime,LAB MIX,CREAM,TRUCKIS,15237,2099,2010-02-24T09:43:05
Dog Lifetime Spayed Female,SCHNAUZER STANDARD,TAN,KALY,15044,2099,2010-02-24T09:55:04
Dog Lifetime Spayed Female,SIB HUSKY,WHITE/BLACK/BROWN,MYA,15025,2099,2010-02-24T11:59:57
Dog Senior Lifetime Neutered Male,STAFFORDSHIRE TERRI,SPOTTED,BEAU,15122,2099,2010-02-24T15:15:49
Dog Lifetime Duplicate,DOBERMAN PINSCHER,BLACK,ZENON,15116,2099,2010-02-26T10:55:09
Dog Lifetime Duplicate,GER SHORTHAIR POINT,WHITE/BROWN,RYE,15229,2099,2010-02-26T11:19:00
Dog Lifetime Spayed Female,SHETLAND SHEEPDOG,WHITE/BLACK/BROWN,ZOEY,15229,2099,2010-02-26T12:16:45
Dog Lifetime Spayed Female,MIXED,BLACK,MINNIE,15037,2099,2010-02-26T15:39:05
Dog Lifetime Neutered Male,AM PIT BULL TERRIER,TAN,BANDIT,15136,2099,2010-02-26T15:39:05
Dog Lifetime Spayed Female,LAB MIX,BROWN,RILEY,15017,2099,2010-02-26T15:39:06
Dog Lifetime Neutered Male,MIXED,WHITE/BROWN,RALPHIE,15239,2099,2010-02-26T15:39:06
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,STELLA,15241,2099,2010-02-26T15:39:07
Dog Lifetime Spayed Female,AIREDALE TERRIER,BLACK/BROWN/TAN,GRACIE,15236,2099,2010-03-01T10:01:42
Dog Lifetime Spayed Female,SHIH TZU,WHITE,GRACE,15140,2099,2010-03-01T10:02:53
Dog Lifetime Neutered Male,SHIH TZU,WHITE/YELLOW,RILEY,15235,2099,2010-03-01T11:40:55
Dog Lifetime Female,POINTER,WHITE/BLACK,LILLI,15227,2099,2010-03-01T10:43:04
Dog Lifetime Spayed Female,GER SHORTHAIR POINT,WHITE/LIVER,GRACIE,15236,2099,2010-03-01T10:46:40
Dog Lifetime Neutered Male,SCHNAUZER MIN,BLACK,BRADY,15068,2099,2010-03-01T13:01:35
Dog Lifetime Neutered Male,SHIH TZU,WHITE/BROWN,DEXTER,15135,2099,2010-03-01T13:34:00
Dog Lifetime Spayed Female,MIXED,BRINDLE,STORM,15120,2099,2010-03-01T13:37:24
Dog Lifetime Spayed Female,LAB MIX,BROWN,SHIANN,15237,2099,2010-03-01T13:40:19
Dog Lifetime Neutered Male,TERRIER MIX,WHITE/BLACK,BUDDY,15221,2099,2010-03-01T14:08:27
Dog Lifetime Neutered Male,PAPILLON,WHITE/BROWN,TEDDY,15221,2099,2010-03-01T14:08:27
Dog Lifetime Neutered Male,SCHNAUZER MIN,SALT/PEPPER,NELSON,15221,2099,2010-03-01T14:08:27
